DATE,TIME PERIOD,TRANSACTIONS
31-05-2020,2020May,69397
30-06-2020,2020Jun,37508
31-07-2020,2020Jul,-8746
31-08-2020,2020Aug,-976
30-09-2020,2020Sep,7919
31-10-2020,2020Oct,-40803
30-11-2020,2020Nov,-31482
31-12-2020,2020Dec,-59708
31-01-2021,2021Jan,32384
28-02-2021,2021Feb,12523
31-03-2021,2021Mar,3214
30-04-2021,2021Apr,-39792
31-05-2021,2021May,-4799
30-06-2021,2021Jun,-20664
31-07-2021,2021Jul,-34834
31-08-2021,2021Aug,-289
30-09-2021,2021Sep,-17529
31-10-2021,2021Oct,-42706
30-11-2021,2021Nov,4550
31-12-2021,2021Dec,-31796
31-01-2022,2022Jan,10350
28-02-2022,2022Feb,28306
31-03-2022,2022Mar,9194
30-04-2022,2022Apr,-14838
31-05-2022,2022May,33492
30-06-2022,2022Jun,16989
31-07-2022,2022Jul,-24348
31-08-2022,2022Aug,-26247
30-09-2022,2022Sep,8302
31-10-2022,2022Oct,3255
30-11-2022,2022Nov,16638
31-12-2022,2022Dec,-42975
31-01-2023,2023Jan,12691
28-02-2023,2023Feb,28616
31-03-2023,2023Mar,6722
30-04-2023,2023Apr,-19082
31-05-2023,2023May,-29865
30-06-2023,2023Jun,27950
31-07-2023,2023Jul,-24115
31-08-2023,2023Aug,25579
30-09-2023,2023Sep,10961
31-10-2023,2023Oct,6449
30-11-2023,2023Nov,4589
31-12-2023,2023Dec,-16424
31-01-2024,2024Jan,16349
29-02-2024,2024Feb,35130
